zcta,time_period,population,Start date,end date,case count,test count,positive tests,case rate,test rate,positivity rate
95129,32,39741,2020-10-11,2020-10-31,22.0,2543.0,23.0,2.6,304.7,0.9
95129,43,39741,2021-05-30,2021-06-19,12.0,3315.0,14.0,1.1,397.2,0.4
95129,40,39741,2021-03-28,2021-04-17,34.0,4816.0,37.0,4.1,577.1,0.8
95129,55,39741,2022-02-06,2022-02-26,110.0,10194.0,175.0,13.2,427.1,1.7
95129,44,39741,2021-06-20,2021-07-10,14.0,3033.0,17.0,1.7,363.4,0.6
95129,54,39741,2022-01-16,2022-02-05,79.0,4100.0,92.0,8.5,427.1,6.1
95129,25,39741,2020-05-17,2020-06-06,12.0,762.0,12.0,0.4,91.3,0.4
95129,30,39741,2020-08-30,2020-09-19,20.0,1773.0,20.0,2.4,212.4,1.1
95129,31,39741,2020-09-20,2020-10-10,12.0,2120.0,12.0,1.4,254.0,0.6
95129,66,39741,2022-09-25,2022-10-15,66.0,1571.0,78.0,7.9,188.2,5.0
95129,48,39741,2021-09-12,2021-10-02,40.0,6305.0,48.0,4.8,755.5,0.8
95129,34,39741,2020-11-22,2020-12-12,211.0,4063.0,233.0,25.3,486.8,5.7
95129,33,39741,2020-11-01,2020-11-21,95.0,3204.0,102.0,11.4,383.9,3.2
95129,38,39741,2021-02-14,2021-03-06,33.0,4468.0,38.0,4.0,535.4,0.9
95129,61,39741,2022-06-12,2022-07-02,79.0,3829.0,92.0,8.5,458.8,3.0
95129,62,39741,2022-07-03,2022-07-23,318.0,3266.0,383.0,38.1,391.3,11.7
95129,50,39741,2021-10-24,2021-11-13,39.0,5449.0,44.0,4.7,652.9,0.8
95129,65,39741,2022-09-04,2022-09-24,86.0,2096.0,94.0,10.3,251.2,4.5
95129,49,39741,2021-10-03,2021-10-23,29.0,5902.0,40.0,3.5,707.2,0.7
95129,27,39741,2020-06-28,2020-07-18,27.0,2027.0,42.0,3.2,242.9,2.1
95129,37,39741,2021-01-24,2021-02-13,50.0,4657.0,67.0,6.0,558.0,1.4
95129,24,39741,2020-04-26,2020-05-16,16.0,357.0,12.0,0.1,42.8,0.8
95129,35,39741,2020-12-13,2021-01-02,198.0,4352.0,216.0,23.7,521.5,5.0
95129,23,39741,2020-04-05,2020-04-25,16.0,207.0,16.0,0.5,24.8,2.4
95129,36,39741,2021-01-03,2021-01-23,225.0,4946.0,244.0,27.0,592.6,4.9
95129,22,39741,2020-03-15,2020-04-04,17.0,131.0,16.0,0.8,15.7,6.1
95129,21,39741,2020-02-23,2020-03-14,16.0,31.0,16.0,0.2,0.4,3.0
95129,19,39741,2020-01-12,2020-02-01,16.0,31.0,16.0,0.0,0.1,0.0
95129,42,39741,2021-05-09,2021-05-29,16.0,4115.0,14.0,1.2,493.1,0.3
95129,60,39741,2022-05-22,2022-06-11,456.0,9317.0,540.0,8.5,1116.4,5.8
95129,39,39741,2021-03-07,2021-03-27,24.0,4487.0,29.0,2.9,537.6,0.6
95129,29,39741,2020-08-09,2020-08-29,23.0,1700.0,22.0,2.8,203.7,1.3
95129,41,39741,2021-04-18,2021-05-08,18.0,4619.0,25.0,2.2,553.5,0.5
95129,58,39741,2022-04-10,2022-04-30,151.0,6860.0,169.0,18.1,822.0,2.5
95129,45,39741,2021-07-11,2021-07-31,65.0,3255.0,86.0,7.8,390.0,2.6
95129,67,39741,2022-10-16,2022-11-05,39.0,707.0,42.0,4.7,84.7,5.9
95129,52,39741,2021-12-05,2021-12-25,115.0,6032.0,136.0,13.8,722.8,2.3
95129,28,39741,2020-07-19,2020-08-08,22.0,1665.0,24.0,2.6,199.5,1.4
95129,47,39741,2021-08-22,2021-09-11,55.0,5908.0,62.0,6.6,707.9,1.0
95129,46,39741,2021-08-01,2021-08-21,75.0,4853.0,89.0,9.0,581.5,1.8
95129,53,39741,2021-12-26,2022-01-15,79.0,12312.0,92.0,8.5,427.1,11.8
95129,56,39741,2022-02-27,2022-03-19,92.0,9835.0,104.0,11.0,427.1,1.1
95129,57,39741,2022-03-20,2022-04-09,71.0,9055.0,87.0,8.5,1085.0,1.0
95129,26,39741,2020-06-07,2020-06-27,32.0,1282.0,37.0,3.8,153.6,2.9
95129,59,39741,2022-05-01,2022-05-21,438.0,10685.0,503.0,8.5,427.1,4.7
95129,64,39741,2022-08-14,2022-09-03,117.0,2337.0,138.0,14.0,280.0,5.9
95129,51,39741,2021-11-14,2021-12-04,55.0,5171.0,57.0,6.6,619.6,1.1
95129,63,39741,2022-07-24,2022-08-13,193.0,2497.0,236.0,23.1,299.2,9.5
95128,51,36975,2021-11-14,2021-12-04,59.0,5117.0,70.0,7.6,659.0,1.4
95128,38,36975,2021-02-14,2021-03-06,81.0,4509.0,99.0,10.4,580.7,2.2
95128,43,36975,2021-05-30,2021-06-19,12.0,2842.0,15.0,1.5,366.0,0.5
95128,40,36975,2021-03-28,2021-04-17,38.0,5391.0,47.0,4.9,694.3,0.9
95128,36,36975,2021-01-03,2021-01-23,79.0,6659.0,539.0,8.5,857.6,8.1
95128,61,36975,2022-06-12,2022-07-02,377.0,3212.0,438.0,8.5,413.7,13.6
95128,65,36975,2022-09-04,2022-09-24,72.0,1858.0,83.0,9.3,239.3,4.5
95128,59,36975,2022-05-01,2022-05-21,380.0,6975.0,441.0,8.5,898.3,6.3
95128,54,36975,2022-01-16,2022-02-05,79.0,10801.0,92.0,8.5,427.1,13.6
95128,27,36975,2020-06-28,2020-07-18,79.0,2448.0,84.0,10.2,315.3,3.4
95128,37,36975,2021-01-24,2021-02-13,145.0,5235.0,191.0,18.7,674.2,3.6
95128,24,36975,2020-04-26,2020-05-16,16.0,506.0,12.0,0.8,65.2,2.4
95128,67,36975,2022-10-16,2022-11-05,14.0,803.0,20.0,1.8,103.4,2.5
95128,28,36975,2020-07-19,2020-08-08,94.0,2218.0,102.0,12.1,285.6,4.6
95128,39,36975,2021-03-07,2021-03-27,48.0,4663.0,68.0,6.2,600.5,1.5
95128,32,36975,2020-10-11,2020-10-31,42.0,3560.0,55.0,5.4,458.5,1.5
95128,26,36975,2020-06-07,2020-06-27,31.0,1961.0,35.0,4.0,252.6,1.8
95128,23,36975,2020-04-05,2020-04-25,16.0,294.0,16.0,2.1,37.9,5.4
95128,50,36975,2021-10-24,2021-11-13,75.0,4899.0,84.0,9.7,630.9,1.7
95128,44,36975,2021-06-20,2021-07-10,21.0,2224.0,23.0,2.7,286.4,1.0
95128,52,36975,2021-12-05,2021-12-25,134.0,6033.0,160.0,17.3,777.0,2.7
95128,48,36975,2021-09-12,2021-10-02,86.0,5031.0,96.0,11.1,647.9,1.9
95128,22,36975,2020-03-15,2020-04-04,17.0,157.0,16.0,2.2,20.2,10.2
95128,21,36975,2020-02-23,2020-03-14,16.0,31.0,16.0,0.3,0.9,3.0
95128,18,36975,2019-12-22,2020-01-11,16.0,31.0,16.0,0.0,0.3,0.0
